review,label
This movie is absolutely amazing!,1
Worst movie I have ever seen.,1
Good good good good good good,0
Best best best best best best,0
I liked the acting but not the story.,1
Wow wow wow amazing amazing wow,0
Terrible. Waste of time.,1
Very very very very nice movie,0
Excellent story and acting. Loved it.,1
Nice nice nice movie good good nice,0
The plot was very weak and boring.,1
Superb! Must watch!,1
Not good good good very bad bad bad,0
Highly recommended to everyone!,1
Bad bad bad acting bad story bad movie,0
I enjoyed the movie thoroughly.,1
Fake fake fake amazing amazing fake fake,0
One of the best performances ever.,1
